Seed,ElapsedTime(ms),Path Length,Min,15
314,17,483,,
315,19,374,,
316,16,483,,
317,17,295,,
318,22,378,,
319,15,295,,
320,22,378,,
321,15,295,,
322,25,378,,
323,15,295,,
324,22,378,,
325,29,513,,
326,23,474,,
327,32,513,,
328,24,474,,
329,30,513,,
330,23,474,,
331,28,513,,
332,41,374,,
333,16,483,,
334,19,374,,
335,16,483,,
336,22,374,,
337,16,483,,
338,20,374,,
339,16,483,,
340,15,295,,
341,25,378,,
342,15,295,,
343,22,378,,
344,16,295,,
345,22,378,,
346,19,295,,
347,23,474,,
348,29,513,,
349,24,474,,
350,33,513,,
351,23,474,,
352,29,513,,
353,24,474,,
354,29,513,,
355,22,374,,
356,15,483,,
357,19,374,,
358,16,483,,
359,22,374,,
360,16,483,,
361,19,374,,
362,22,378,,
363,18,295,,
364,22,378,,
365,15,295,,
366,22,378,,
367,15,295,,
368,22,378,,
369,47,513,,
370,26,474,,
371,29,513,,
372,23,474,,
373,30,513,,
374,26,474,,
375,29,513,,
376,23,474,,
377,17,483,,
378,21,374,,
379,16,483,,
380,19,374,,
381,16,483,,
382,23,374,,
383,16,483,,
384,15,295,,
385,22,378,,
386,15,295,,
387,25,378,,
388,16,295,,
389,22,378,,
390,15,295,,
391,22,378,,
392,32,513,,
393,23,474,,
394,30,513,,
395,24,474,,
396,31,513,,
397,24,474,,
398,29,513,,
399,18,374,,
400,15,483,,
401,39,374,,
402,16,483,,
403,19,374,,
404,16,483,,
405,18,374,,
406,18,483,,
407,15,295,,
408,24,378,,
409,15,295,,
410,22,378,,
411,18,295,,
412,22,378,,
413,16,295,,
414,23,474,,
415,29,513,,
416,26,474,,
417,30,513,,
418,24,474,,
419,29,513,,
420,26,474,,
421,16,483,,
422,20,374,,
423,16,483,,
424,22,374,,
425,15,483,,
426,19,374,,
427,16,483,,
428,20,374,,
429,25,378,,
430,15,295,,
431,22,378,,
432,15,295,,
433,22,378,,
434,19,295,,
435,22,378,,
436,28,513,,
437,23,474,,
438,30,513,,
439,40,474,,
440,31,513,,
441,25,474,,
442,32,513,,
443,23,474,,
444,19,483,,
445,19,374,,
446,16,483,,
447,20,374,,
448,18,483,,
449,19,374,,
450,16,483,,
451,15,295,,
452,25,378,,
453,15,295,,
454,22,378,,
455,15,295,,
456,22,378,,
457,15,295,,
458,25,378,,
459,29,513,,
460,23,474,,
461,29,513,,
462,24,474,,
463,32,513,,
464,24,474,,
465,28,513,,
466,19,374,,
467,19,483,,
468,19,374,,
469,15,483,,
470,19,374,,
471,19,483,,
472,20,374,,
473,22,378,,
474,15,295,,
475,24,378,,
476,23,295,,
477,34,378,,
478,15,295,,
479,22,378,,
480,15,295,,
481,23,474,,
482,33,513,,
483,23,474,,
484,29,513,,
485,23,474,,
486,31,513,,
487,27,474,,
488,15,483,,
489,21,374,,
490,16,483,,
491,21,374,,
492,16,483,,
493,19,374,,
494,16,483,,
495,21,374,,
496,22,378,,
497,17,295,,
498,22,378,,
499,16,295,,
500,25,378,,
501,15,295,,
502,22,378,,
503,31,513,,
504,25,474,,
505,32,513,,
506,24,474,,
507,29,513,,
508,23,474,,
509,32,513,,
510,24,474,,
511,16,483,,
512,19,374,,
513,19,483,,
514,33,374,,
515,16,483,,
516,20,374,,
517,16,483,,
518,15,295,,
519,24,378,,
520,15,295,,
521,23,378,,
522,15,295,,
523,24,378,,
524,19,295,,
525,22,378,,
526,29,513,,
527,23,474,,
528,31,513,,
529,24,474,,
530,29,513,,
531,24,474,,
532,29,513,,
533,22,374,,
534,16,483,,
535,20,374,,
536,17,483,,
537,21,374,,
538,16,483,,
539,18,374,,
540,22,378,,
541,18,295,,
542,22,378,,
543,15,295,,
544,22,378,,
545,15,295,,
546,22,378,,
547,19,295,,
548,23,474,,
549,29,513,,
550,23,474,,
551,31,513,,
552,27,474,,
553,29,513,,
554,23,474,,
555,17,483,,
556,33,374,,
557,23,483,,
558,19,374,,
559,16,483,,
560,19,374,,
561,18,483,,
562,19,374,,
563,22,378,,
564,15,295,,
565,22,378,,
566,19,295,,
567,22,378,,
568,15,295,,
569,22,378,,
570,29,513,,
571,27,474,,
572,29,513,,
573,23,474,,
574,29,513,,
575,27,474,,
576,31,513,,
577,25,474,,
578,17,483,,
579,24,374,,
580,17,483,,
581,22,374,,
582,17,483,,
583,20,374,,
584,20,483,,
585,17,295,,
586,24,378,,
587,16,295,,
588,24,378,,
589,16,295,,
590,27,378,,
591,16,295,,
592,25,474,,
593,31,513,,
594,28,474,,
595,52,513,,
596,25,474,,
597,31,513,,
598,26,474,,
599,34,513,,
600,20,374,,
601,19,483,,
602,21,374,,
603,16,483,,
604,21,374,,
605,16,483,,
606,19,374,,
607,22,378,,
608,19,295,,
609,22,378,,
610,15,295,,
611,23,378,,
612,15,295,,
613,25,378,,
614,16,295,,
615,23,474,,
616,28,513,,
617,23,474,,
618,32,513,,
619,27,474,,
620,29,513,,
621,23,474,,
622,16,483,,
623,23,374,,
624,15,483,,
625,19,374,,
626,16,483,,
627,24,374,,
628,34,483,,
629,18,374,,
630,22,378,,
631,16,295,,
632,22,378,,
633,19,295,,
634,22,378,,
635,15,295,,
636,22,378,,
637,28,513,,
638,27,474,,
639,29,513,,
640,23,474,,
641,28,513,,
642,27,474,,
643,28,513,,
644,19,374,,
645,15,483,,
646,21,374,,
647,16,483,,
648,19,374,,
649,16,483,,
650,19,374,,
651,18,483,,
652,15,295,,
653,23,378,,
654,16,295,,
655,22,378,,
656,18,295,,
657,21,378,,
