Seed,ElapsedTime(ms),Path Length,Min,4
635,29,513,,
636,40,513,,
637,27,513,,
638,29,513,,
639,12,513,,
640,6,513,,
641,14,513,,
642,34,513,,
643,30,513,,
644,28,513,,
645,31,513,,
646,30,513,,
647,18,513,,
648,29,513,,
649,16,513,,
650,24,513,,
651,37,513,,
652,30,513,,
653,23,513,,
654,32,513,,
655,6,513,,
656,52,513,,
657,16,513,,
658,24,513,,
659,17,513,,
660,50,513,,
661,30,513,,
662,25,513,,
663,43,513,,
664,14,513,,
665,47,513,,
666,32,513,,
667,16,513,,
668,48,513,,
669,52,513,,
670,28,513,,
671,31,513,,
672,28,513,,
673,18,513,,
674,24,513,,
675,60,513,,
676,9,513,,
677,21,513,,
678,16,513,,
679,39,513,,
680,45,513,,
681,55,513,,
682,41,513,,
683,21,513,,
684,9,513,,
685,30,513,,
686,24,513,,
687,9,513,,
688,53,513,,
689,28,513,,
690,21,513,,
691,27,513,,
692,30,513,,
693,26,513,,
694,37,513,,
695,39,513,,
696,21,513,,
697,11,513,,
698,26,513,,
699,38,513,,
700,34,513,,
701,20,513,,
702,37,513,,
703,36,513,,
704,17,513,,
705,10,513,,
706,43,513,,
707,17,513,,
708,27,513,,
709,22,513,,
710,38,513,,
711,21,513,,
712,23,513,,
713,16,513,,
714,21,513,,
715,55,513,,
716,24,513,,
717,26,513,,
718,39,513,,
719,33,513,,
720,31,513,,
721,41,513,,
722,12,513,,
723,27,513,,
724,32,513,,
725,45,513,,
726,27,513,,
727,15,513,,
728,24,513,,
729,14,513,,
730,21,513,,
731,26,513,,
732,34,513,,
733,21,513,,
734,28,513,,
735,19,513,,
736,46,513,,
737,34,513,,
738,47,513,,
739,48,513,,
740,19,513,,
741,22,513,,
742,20,513,,
743,32,513,,
744,26,513,,
745,24,513,,
746,22,513,,
747,45,513,,
748,11,513,,
749,36,513,,
750,36,513,,
751,43,513,,
752,42,513,,
753,22,513,,
754,19,513,,
755,14,513,,
756,26,513,,
757,31,513,,
758,23,513,,
759,23,513,,
760,30,513,,
761,36,513,,
762,26,513,,
763,36,513,,
764,7,513,,
765,21,513,,
766,11,513,,
767,37,513,,
768,37,513,,
769,33,513,,
770,46,513,,
771,43,513,,
772,20,513,,
773,18,513,,
774,39,513,,
775,37,513,,
776,33,513,,
777,34,513,,
778,35,513,,
779,28,513,,
780,52,513,,
781,41,513,,
782,18,513,,
783,20,513,,
784,32,513,,
785,33,513,,
786,10,513,,
