Seed,X Position,Y Position,ElapsedTime(ms)
1,13,7,36
1,-14,-5,30
1,-14,5,34
1,-11,-10,46
1,-11,10,33
1,-10,-11,28
1,-10,11,35
1,-5,-14,46
1,-5,14,36
1,5,-14,32
1,5,14,39
1,10,-11,49
1,10,11,38
1,11,-10,34
1,11,10,52
1,14,-5,33
1,14,5,37
1,-15,0,33
1,-12,-9,46
1,-12,9,31
1,-9,-12,29
1,5,-13,49374
1,-9,12,53
1,0,-15,51
1,0,15,40
1,9,-12,38
1,9,12,106
1,12,-9,100
1,12,9,44
1,15,0,42
1,-15,-1,50
1,-15,1,51
1,-1,-15,36
1,-1,15,43
1,1,-15,48
1,1,15,56
1,15,-1,41
1,15,1,42
1,-15,-2,50
1,-15,2,49
1,-2,-15,33
1,-2,15,43
1,2,-15,49
1,2,15,55
1,15,-2,42
1,15,2,53
1,-14,-6,48
1,-14,6,38
1,-6,-14,35
1,-6,14,56
1,6,-14,50
1,6,14,44
1,14,-6,40
1,-13,-8,52
1,14,6,60
1,-13,8,38
1,-8,-13,36
1,-8,13,52
1,8,-13,50
1,8,13,42
1,13,-8,40
1,-15,-3,49
1,13,8,58
1,-15,3,34
1,-3,-15,36
1,-3,15,55
1,3,-15,52
1,3,15,42
1,15,-3,43
1,15,3,54
1,-15,-4,46
1,-15,4,37
1,-4,-15,36
1,-4,15,51
1,4,-15,45
1,4,15,44
1,15,-4,43
1,15,4,56
1,-11,-11,50
1,-11,11,39
1,11,-11,41
1,-12,-10,48
1,11,11,58
1,-12,10,36
1,-10,-12,33
1,-10,12,54
1,10,-12,51
1,10,12,44
1,12,-10,39
1,-14,-7,48
1,12,10,56
1,-14,7,37
1,-7,-14,34
1,-7,14,55
1,7,-14,53
1,7,14,43
1,14,-7,41
1,-15,-5,49
1,14,7,59
1,-15,5,35
1,-13,-9,32
1,-13,9,54
1,-9,-13,48
1,-9,13,39
1,-5,-15,38
1,-5,15,107
1,5,-15,106
1,5,15,44
1,9,-13,38
1,9,13,60
1,13,-9,55
1,13,9,44
1,15,-5,43
1,15,5,54
1,-16,0,54
1,0,-16,34
1,0,16,41
1,16,0,54
1,-16,-1,49
1,-16,1,34
1,-1,-16,34
1,-1,16,56
1,1,-16,51
1,1,16,42
1,16,-1,39
1,16,1,54
1,-16,-2,48
1,-16,2,36
1,-14,-8,35
1,-14,8,47
1,-8,-14,44
1,-8,14,41
1,-2,-16,35
1,-2,16,57
1,2,-16,52
1,2,16,43
1,8,-14,38
1,8,14,59
1,14,-8,57
1,14,8,45
1,16,-2,42
1,16,2,53
1,-15,-6,48
1,-15,6,37
1,-6,-15,36
1,-6,15,54
1,6,-15,52
1,6,15,41
1,15,-6,39
1,15,6,54
1,-16,-3,48
1,-16,3,35
1,-12,-11,30
1,-12,11,50
1,-11,-12,49
1,-11,12,39
1,-3,-16,36
1,-3,16,58
1,3,-16,53
1,3,16,45
1,11,-12,40
1,11,12,57
1,12,-11,52
1,12,11,44
1,16,-3,46
1,16,3,56
1,-13,-10,51
1,-13,10,36
1,-10,-13,33
1,-10,13,52
1,10,-13,50
1,10,13,44
1,13,-10,42
